clean_mIoU,adv_mIoU,mIoU_drop,clean_pixel_accuracy,adv_pixel_accuracy,pixel_accuracy_drop,clean_mean_gt_probability,adv_mean_gt_probability,prediction_change_rate,target_region_clean_match_rate,target_region_match_rate,target_region_matches,target_region_pixels,target_region_change_rate,target_region_changed_pixels,target_region_clean_accuracy,target_region_adv_accuracy,target_region_accuracy_drop,stem,dataset_idx,condition,report_role,method,target_mode,visual_filter,eps_pixel,steps,attack_loss,max_delta_pixel,mean_delta_pixel
45.51314006417482,0.41411463570710305,45.09902542846772,90.64712524414062,0.1728057861328125,90.47431945800781,0.8398548364639282,0.016472384333610535,0.9970817565917969,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,train_9,0,cospgd_untargeted_eps6_255_steps20,final_untargeted_best,cospgd,untargeted,untargeted_no_filter,6.0,20,2.8253462314605713,6.0,3.2142505645751953
87.15789353454848,0.0,87.15789353454848,95.11299133300781,0.0,95.11299133300781,0.9165147542953491,0.005323855206370354,1.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,train_13,1,cospgd_untargeted_eps6_255_steps20,final_untargeted_best,cospgd,untargeted,untargeted_no_filter,6.0,20,4.559231281280518,6.0,3.247811794281006
95.0686502997147,0.0014008721830211489,95.06724942753168,99.16648864746094,0.003814697265625,99.16267395019531,0.8712419867515564,0.004724223166704178,0.9999618530273438,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,train_36,2,cospgd_untargeted_eps6_255_steps20,final_untargeted_best,cospgd,untargeted,untargeted_no_filter,6.0,20,4.911748886108398,6.0,3.3793883323669434
65.11303964199739,0.0,65.11303964199739,99.71809387207031,0.0,99.71809387207031,0.9270605444908142,0.0024561998434364796,1.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,train_39,3,cospgd_untargeted_eps6_255_steps20,final_untargeted_best,cospgd,untargeted,untargeted_no_filter,6.0,20,5.596629619598389,6.0,3.274562358856201
95.21342304239104,0.0,95.21342304239104,98.88801574707031,0.0,98.88801574707031,0.9320269227027893,0.004209501668810844,1.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,train_58,4,cospgd_untargeted_eps6_255_steps20,final_untargeted_best,cospgd,untargeted,untargeted_no_filter,6.0,20,4.314216136932373,6.0,3.1989073753356934
95.0686502997147,33.20414358957132,61.86450671014338,99.16648864746094,90.49530029296875,8.671188354492188,0.8712419867515564,0.9009138941764832,0.09441757202148438,0.0,0.9915692027937347,23993,24197,0.9918998222920197,24001,0.9184196387981981,0.0,0.9184196387981981,train_36,2,pgd_target_non_person_fg_to_person_eps6_255_steps20,final_targeted_best,pgd,non_person_foreground_to_person,no_person_gt_with_non_person_foreground,6.0,20,0.019119899719953537,6.0,3.2807109355926514
65.11303964199739,33.2451063010454,31.867933340951986,99.71809387207031,96.1639404296875,3.5541534423828125,0.9270605444908142,0.9595360159873962,0.039642333984375,0.0,1.0,9387,9387,1.0,9387,0.9700649834878022,0.0,0.9700649834878022,train_39,3,pgd_target_non_person_fg_to_person_eps6_255_steps20,final_targeted_best,pgd,non_person_foreground_to_person,no_person_gt_with_non_person_foreground,6.0,20,0.011312083341181278,6.0,3.2520511150360107
95.21342304239104,32.880508572846075,62.33291446954497,98.88801574707031,85.4522705078125,13.435745239257812,0.9320269227027893,0.839579164981842,0.14544677734375,0.0,0.999771813229128,35051,35059,0.999771813229128,35051,0.9179383325251719,0.0,0.9179383325251719,train_58,4,pgd_target_non_person_fg_to_person_eps6_255_steps20,final_targeted_best,pgd,non_person_foreground_to_person,no_person_gt_with_non_person_foreground,6.0,20,0.036177195608615875,6.0,3.1776320934295654
90.34732058148467,32.81213393577047,57.5351866457142,97.12448120117188,82.27691650390625,14.847564697265625,0.923026442527771,0.813334047794342,0.17647933959960938,0.0,0.9587185599394034,43034,44887,0.96903335041326,43497,0.8872724842381982,0.0,0.8872724842381982,train_86,5,pgd_target_non_person_fg_to_person_eps6_255_steps20,final_targeted_best,pgd,non_person_foreground_to_person,no_person_gt_with_non_person_foreground,6.0,20,0.05091577768325806,6.0,3.248126983642578
70.57348732351045,24.82347935059105,45.7500079729194,97.17597961425781,81.00357055664062,16.172409057617188,0.8621518611907959,0.7991957664489746,0.18967437744140625,0.0,0.998428583243735,48288,48364,0.998428583243735,48288,0.852865767926557,0.0,0.852865767926557,train_174,7,pgd_target_non_person_fg_to_person_eps6_255_steps20,final_targeted_best,pgd,non_person_foreground_to_person,no_person_gt_with_non_person_foreground,6.0,20,0.04163443297147751,6.0,3.1608855724334717
