experiment,stage,epoch,train_loss,val_loss,lr,is_best
resnet50_224,S1,1,0.1332546773184719,0.07152073353528976,0.001,True
resnet50_224,S1,2,0.07673521333674159,0.06870302319526672,0.001,True
resnet50_224,S1,3,0.07122800262871887,0.05824883078535398,0.001,True
resnet50_224,S1,4,0.06670064964208858,0.0557851006090641,0.001,True
resnet50_224,S1,5,0.061115136988871485,0.057908026427030565,0.001,False
resnet50_224,S2,1,0.05986790736524609,0.05285553142428398,0.0001,True
resnet50_224,S2,2,0.04473800857695992,0.04040632158517837,0.0001,True
resnet50_224,S2,3,0.03721255676600093,0.03897783031066259,0.0001,True
resnet50_224,S2,4,0.02848418693809159,0.03872558275858561,0.0001,True
resnet50_224,S2,5,0.024738621545056867,0.03702947090069453,0.0001,True
resnet50_224,S2,6,0.02213499578452966,0.038083332528670626,0.0001,False
resnet50_224,S2,7,0.017551557655338952,0.04009819696346919,0.0001,False
resnet50_224,S2,8,0.017542816334729004,0.04284722646077474,0.0001,False
resnet50_224,S2,9,0.0137524461227536,0.04337161093950272,0.0001,False
resnet50_224,S2,10,0.01188864393815871,0.04200059334437052,0.0001,False
resnet50_224,S2,11,0.011036275335601555,0.04298292711377144,0.0001,False
resnet50_224,S2,12,0.009768249025453311,0.04229771435260773,0.0001,False
resnet50_224,S2,13,0.010572176176326999,0.040706654340028764,0.0001,False
resnet50_224,S2,14,0.008211514970073119,0.040749864081541694,0.0001,False
resnet50_224,S2,15,0.007567195301853705,0.041930597374836606,0.0001,False
resnet50_224,S2,16,0.007844338380111279,0.042060131629308065,0.0001,False
resnet50_224,S2,17,0.007071744683253048,0.04283916217585405,0.0001,False
resnet50_224,S2,18,0.006594370901335858,0.04237390853464604,0.0001,False
resnet50_224,S2,19,0.006527771553310732,0.04176185637712479,0.0001,False
resnet50_224,S2,20,0.0070053450514458255,0.04299612373113632,0.0001,False
resnet50_224,S3,1,0.028155435637654228,,5e-05,False
resnet50_224,S3,2,0.023189369181248153,,5e-05,False
resnet50_224,S3,3,0.019913793684484486,,5e-05,False
resnet50_224,S3,4,0.01830635960145452,,5e-05,False
resnet50_224,S3,5,0.016987078419037273,,5e-05,False
