condition,report_role,method,target_mode,loss_mode,eps_pixel,steps,foreground_weight,target_region_clean_match_rate,target_region_match_rate,target_region_change_rate,target_region_accuracy_drop,target_region_clean_accuracy,target_region_adv_accuracy,target_region_pixels,mIoU,mIoU_drop,prediction_change_rate,pixel_accuracy,pixel_accuracy_drop,mean_gt_probability,mean_gt_probability_drop,foreground_to_background_rate,foreground_to_background_rate_increase,max_delta_pixel,mean_delta_pixel,mean_attack_loss,samples
clean,baseline,clean,clean,clean,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,79.23256325453387,0.0,0.0,97.5746979584565,0.0,0.8867229110485798,0.0,0.06503231053814387,0.0,0.0,0.0,0.0,37
cospgd_untargeted_eps6_255_steps20,final_untargeted_best,cospgd,untargeted,cospgd_weighted_ce,6.0,20,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.07326611938635101,79.15929713514753,0.9958091942039696,0.42056521853885137,97.15413273991764,0.016145713913657173,0.8705771971349227,0.0,-0.06503231053814387,6.0,3.2607813396969356,4.272627405218176,37
pgd_target_non_person_fg_to_person_eps6_255_steps20,final_targeted_best,pgd,non_person_foreground_to_person,weighted_ce,6.0,20,5.0,0.0015453514572650886,0.9846753760199386,0.9870828920110539,0.9178319133107251,0.9190433513156858,0.0012114380049606183,1497394,6.807907409234501,72.42465584529937,0.17186623650628166,83.14056396484375,14.434133993612747,0.8148981348888295,0.07182477615975036,0.011016615689169784,-0.05401569484897409,6.0,3.232711779104697,0.08648208551410888,37
