experiment,stage,epoch,train_loss,val_loss,lr,is_best
efficientnet_b3_320,S1,1,0.07807917629239555,0.05309669350584348,0.001,True
efficientnet_b3_320,S1,2,0.04982547970715668,0.04408859898646673,0.001,True
efficientnet_b3_320,S1,3,0.04066857577415062,0.04204455181956291,0.001,True
efficientnet_b3_320,S1,4,0.03742885522743398,0.041612239529689156,0.001,True
efficientnet_b3_320,S1,5,0.03289213268481232,0.04064489836494128,0.001,True
efficientnet_b3_320,S2,1,0.03320263884961605,0.0382920728623867,0.0001,True
efficientnet_b3_320,S2,2,0.027555482676610326,0.03508407091101011,0.0001,True
efficientnet_b3_320,S2,3,0.024978735715847383,0.03462758759657542,0.0001,True
efficientnet_b3_320,S2,4,0.021619269801599155,0.03319432293375333,0.0001,True
efficientnet_b3_320,S2,5,0.016935058482277374,0.032769167547424635,0.0001,True
efficientnet_b3_320,S2,6,0.016755609292667575,0.03150690456231435,0.0001,True
efficientnet_b3_320,S2,7,0.013936543872949974,0.030801410401860872,0.0001,True
efficientnet_b3_320,S2,8,0.01236310112406694,0.031435895413160324,0.0001,False
efficientnet_b3_320,S2,9,0.013011492810558795,0.030926913370688758,0.0001,False
efficientnet_b3_320,S2,10,0.011315256089768147,0.03170174032449722,0.0001,False
efficientnet_b3_320,S2,11,0.010262631840742688,0.03205475280682246,0.0001,False
efficientnet_b3_320,S2,12,0.009869696729457339,0.03159188782175382,0.0001,False
efficientnet_b3_320,S2,13,0.010058316444116762,0.03226615672310194,0.0001,False
efficientnet_b3_320,S2,14,0.008305140047991813,0.030922226905822754,0.0001,False
efficientnet_b3_320,S2,15,0.008401260054351541,0.03226543744405111,0.0001,False
efficientnet_b3_320,S2,16,0.0082541485107154,0.031912886301676435,0.0001,False
efficientnet_b3_320,S2,17,0.0077414427664696875,0.032249593138694764,0.0001,False
efficientnet_b3_320,S2,18,0.0079717667484174,0.031192418709397315,0.0001,False
efficientnet_b3_320,S2,19,0.008308881445972867,0.03151876916488012,0.0001,False
efficientnet_b3_320,S2,20,0.008179035927099058,0.03189779279132684,0.0001,False
efficientnet_b3_320,S3,1,0.020561451091118982,,5e-05,False
efficientnet_b3_320,S3,2,0.016840609116293242,,5e-05,False
efficientnet_b3_320,S3,3,0.015319033808140793,,5e-05,False
efficientnet_b3_320,S3,4,0.014336292794812347,,5e-05,False
efficientnet_b3_320,S3,5,0.014105360134341847,,5e-05,False
