experiment,stage,epoch,train_loss,val_loss,lr,is_best
convnext_tiny_320,S1,1,0.07878632444844819,0.06729382038116455,0.001,True
convnext_tiny_320,S1,2,0.05971471857721101,0.05412731717030207,0.001,True
convnext_tiny_320,S1,3,0.048142379109369894,0.04633456364274025,0.001,True
convnext_tiny_320,S1,4,0.043488303022163735,0.043715010782082876,0.001,True
convnext_tiny_320,S1,5,0.04008654656762472,0.0431504358847936,0.001,True
convnext_tiny_320,S2,1,0.0360181597504572,0.033841800267497696,0.0001,True
convnext_tiny_320,S2,2,0.02190525638552162,0.030910588204860687,0.0001,True
convnext_tiny_320,S2,3,0.01612533272892386,0.03028963086505731,0.0001,True
convnext_tiny_320,S2,4,0.012326585540924228,0.029397287517786027,0.0001,True
convnext_tiny_320,S2,5,0.00903300152398111,0.034368262539307276,0.0001,False
convnext_tiny_320,S2,6,0.007859510232776852,0.03349781237542629,0.0001,False
convnext_tiny_320,S2,7,0.006231661029284407,0.031620089064041776,0.0001,False
convnext_tiny_320,S2,8,0.005225643790785677,0.033855365092555684,0.0001,False
convnext_tiny_320,S2,9,0.0046857445631393905,0.03975415326654911,0.0001,False
convnext_tiny_320,S2,10,0.004247608425123664,0.03903795331716538,0.0001,False
convnext_tiny_320,S2,11,0.00313240113675529,0.041882806743184724,0.0001,False
convnext_tiny_320,S2,12,0.0026533042915625644,0.037584014634291334,0.0001,False
convnext_tiny_320,S2,13,0.0028278819634773474,0.04600705449779829,0.0001,False
convnext_tiny_320,S2,14,0.0026019489204507935,0.04138741858303547,0.0001,False
convnext_tiny_320,S2,15,0.0026533619430925207,0.041347881257534025,0.0001,False
convnext_tiny_320,S2,16,0.002221233170449995,0.043681291018923124,0.0001,False
convnext_tiny_320,S2,17,0.0018181750050999337,0.04354733861982822,0.0001,False
convnext_tiny_320,S2,18,0.0016745780698138014,0.043768114323417345,0.0001,False
convnext_tiny_320,S2,19,0.002087043684196716,0.0440431443353494,0.0001,False
convnext_tiny_320,S2,20,0.0017419118280265983,0.04412445912758509,0.0001,False
convnext_tiny_320,S3,1,0.015307544767906335,,5e-05,False
convnext_tiny_320,S3,2,0.011463145607304033,,5e-05,False
convnext_tiny_320,S3,3,0.010180462744877796,,5e-05,False
convnext_tiny_320,S3,4,0.007833449717098784,,5e-05,False
convnext_tiny_320,S3,5,0.007526796184932795,,5e-05,False
