class_id,class_name,intersection,union,target_pixels,iou
2,bicycle,248896,6507274,6504475,0.03824888885883705
6,bus,2530821,4970397,3563120,0.5091788442653574
7,car,49822879,60395987,59731217,0.8249369117852151
14,motorbike,142759,761721,729415,0.18741638999056084
15,person,6354535,12125509,11913424,0.5240633609690117
19,train,7029,1058982,1031648,0.006637506586514219
