stage,condition,report_role,method,target_mode,loss_mode,eps_pixel,steps,foreground_weight,target_region_clean_match_rate,target_region_match_rate,target_region_change_rate,target_region_accuracy_drop,target_region_clean_accuracy,target_region_adv_accuracy,target_region_pixels,mIoU,mIoU_drop,prediction_change_rate,pixel_accuracy,pixel_accuracy_drop,mean_gt_probability,mean_gt_probability_drop,foreground_to_background_rate,foreground_to_background_rate_increase,max_delta_pixel,mean_delta_pixel,mean_attack_loss,samples
clean baseline,clean,baseline,clean,clean,clean,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,79.23256325453387,0.0,0.0,97.5746979584565,0.0,0.8867229110485798,0.0,0.06503231053814387,0.0,0.0,0.0,0.0,37
,fgsm_eps2_255,,fgsm,untargeted,weighted_ce,2.0,1,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0,49.50738880968317,29.7251744448507,0.08907864544842695,89.54439936457453,8.030298593881966,0.751291619764792,0.13543129128378784,0.36262747754691416,0.2975951670087703,2.0,1.9846182836068642,0.21703564003109932,37
,fgsm_eps4_255,,fgsm,untargeted,weighted_ce,4.0,1,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0,45.791119901224775,33.4414433533091,0.09536011154587204,88.98982486209354,8.584873096362955,0.7492040717923963,0.13751883925618347,0.3843813130288746,0.3193490024907307,4.0,3.957107215314298,0.21703564003109932,37
,pgd_eps4_255_steps10,,pgd,untargeted,weighted_ce,4.0,10,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0,5.342936668355294,73.88962658617858,0.4677329192290435,52.25255811536634,45.322139843090156,0.4486946233019635,0.4380282877466163,0.7754448023236002,0.7104124917854564,4.0,2.3055453815975704,3.3671536107321045,37
,pgd_target_fg_to_bg_eps4_255_steps10,,pgd,foreground_to_background,weighted_ce,4.0,10,3.0,0.06503231053814387,0.9955697242347291,0.9305374136965852,0.9227513447512109,0.9271816205164818,0.004430275765270938,1972112,4.422455854055317,74.81010740047856,0.19864108111407305,79.75688625026393,17.817811708192565,0.7951102643399626,0.09161264670861724,0.9955697242347291,0.9305374136965853,4.0,2.2992487147047713,0.046388966434106636,37
,pgd_eps4_255_steps10,,pgd,untargeted,weighted_ce,4.0,10,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0,4.557810308992656,74.67475294554121,0.4566252424910262,53.4156593116554,44.15903864680109,0.45780678820871823,0.4289161228398616,0.7701809025045231,0.7051485919663792,4.0,2.304153603476447,3.5139852045355617,37
,cospgd_eps4_255_steps10,,cospgd,untargeted,cospgd_weighted_ce,4.0,10,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3.311240516370927,75.92132273816294,0.6980963011045713,29.90476247426626,67.66993548419023,0.15284331757071856,0.7338795934778612,0.28642795135367566,0.22139564081553179,4.0,2.3063792151373788,2.102410572606164,37
,pgd_target_fg_to_bg_eps4_255_steps10,,pgd,foreground_to_background,weighted_ce,4.0,10,3.0,0.06503231053814387,0.9999077131521942,0.9348754026140503,0.927089333668676,0.9271816205164818,9.228684780580413e-05,1972112,3.98536554918648,75.24719770534739,0.19952980247703758,79.66935441300676,17.90534354544974,0.7960100069239333,0.0907129041246465,0.9999077131521942,0.9348754026140503,4.0,2.306053735114433,0.03450429178396794,37
,cospgd_target_fg_to_bg_eps4_255_steps10,,cospgd,foreground_to_background,cospgd_weighted_ce,4.0,10,3.0,0.06503231053814387,0.9953998555862953,0.932605247572146,0.9248191786267717,0.9271816205164818,0.002362441889710118,1972112,3.895775485703392,75.33678776883048,0.19906873960752744,79.71556379988387,17.85913415857263,0.795507270742107,0.09121564030647278,0.9953998555862953,0.9303675450481514,4.0,2.30091008624515,0.02865531628422842,37
,pgd_eps4_255_steps10,,pgd,untargeted,weighted_ce,4.0,10,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0,5.660835352377997,73.57172790215587,0.46818666200380066,52.26763132456187,45.30706663389463,0.4758657974417548,0.41085711360682503,0.6733562799678721,0.6083239694297282,4.0,2.3052750535913415,3.525959116381568,37
